trial	val_MAE	chirp	random	square	model_class	n_hidden	num_layers	hidden_sizes	batch_size	lr	dropout	weight_decay	description
0	0.384685	0.149939	0.317006	0.687112	ResidualLSTM	114	1	[256, 128]	32	2.91e-03	0.055	6e-04	ResLSTM h=114 L=1 hs=[256,128] bs=32 lr=2.91e-03 do=0.05 wd=6e-04
1	0.359079	0.146910	0.241745	0.688583	ResidualLSTM	108	2	[256]	128	7.31e-04	0.214	7e-05	ResLSTM h=108 L=2 hs=[256] bs=128 lr=7.31e-04 do=0.21 wd=7e-05
2	0.392929	0.170294	0.306953	0.701541	ResidualLSTM	95	3	[256, 128]	64	8.54e-03	0.107	3e-03	ResLSTM h=95 L=3 hs=[256,128] bs=64 lr=8.54e-03 do=0.11 wd=3e-03
3	0.678331	0.323521	0.611148	1.100323	AutoregressiveLSTM	351	3	[64]	128	8.69e-03	0.329	2e-03	LSTM h=351 L=3 hs=[64] bs=128 lr=8.69e-03 do=0.33 wd=2e-03
4	0.366216	0.144536	0.237880	0.716231	ResidualLSTM	380	4	[256]	32	1.91e-04	0.026	3e-03	ResLSTM h=380 L=4 hs=[256] bs=32 lr=1.91e-04 do=0.03 wd=3e-03
5	0.610197	0.277432	0.574938	0.978221	AutoregressiveLSTM	230	1	[256]	256	1.82e-04	0.246	1e-05	LSTM h=230 L=1 hs=[256] bs=256 lr=1.82e-04 do=0.25 wd=1e-05
6	0.362020	0.151113	0.256697	0.678251	ResidualLSTM	225	2	[128]	128	7.96e-04	0.190	3e-05	ResLSTM h=225 L=2 hs=[128] bs=128 lr=7.96e-04 do=0.19 wd=3e-05
7	0.361182	0.150494	0.244094	0.688959	ResidualLSTM	219	4	[128, 64]	128	8.07e-04	0.160	2e-04	ResLSTM h=219 L=4 hs=[128,64] bs=128 lr=8.07e-04 do=0.16 wd=2e-04
8	0.635005	0.313353	0.577000	1.014660	AutoregressiveLSTM	309	2	[256]	256	7.01e-04	0.349	1e-04	LSTM h=309 L=2 hs=[256] bs=256 lr=7.01e-04 do=0.35 wd=1e-04
9	0.378349	0.156117	0.286817	0.692113	ResidualLSTM	152	2	[128, 64]	64	2.12e-03	0.270	9e-03	ResLSTM h=152 L=2 hs=[128,64] bs=64 lr=2.12e-03 do=0.27 wd=9e-03
10	0.633858	0.298863	0.577485	1.025226	AutoregressiveLSTM	290	3	[64]	128	1.18e-04	0.127	2e-04	LSTM h=290 L=3 hs=[64] bs=128 lr=1.18e-04 do=0.13 wd=2e-04
11	0.355283	0.142820	0.250610	0.672420	ResidualLSTM	187	4	[128, 64]	128	5.40e-04	0.181	1e-04	ResLSTM h=187 L=4 hs=[128,64] bs=128 lr=5.40e-04 do=0.18 wd=1e-04
12	0.353170	0.146413	0.244059	0.669037	ResidualLSTM	159	4	[128, 64]	128	4.02e-04	0.227	4e-05	ResLSTM h=159 L=4 hs=[128,64] bs=128 lr=4.02e-04 do=0.23 wd=4e-05
13	0.353233	0.138083	0.248972	0.672644	ResidualLSTM	169	4	[128, 64]	128	3.15e-04	0.281	2e-05	ResLSTM h=169 L=4 hs=[128,64] bs=128 lr=3.15e-04 do=0.28 wd=2e-05
14	0.348021	0.140254	0.239048	0.664762	ResidualLSTM	151	4	[128, 64]	128	3.37e-04	0.281	1e-05	ResLSTM h=151 L=4 hs=[128,64] bs=128 lr=3.37e-04 do=0.28 wd=1e-05
