chirp
epoch,train_loss,train_mae_norm,val_mae_norm
0,0.968854,0.537784,0.488632
1,0.136065,0.344763,0.257680
5,0.066069,0.250299,0.166409
10,0.046992,0.196660,0.133229
15,0.064791,0.168327,0.135061
20,0.045501,0.165998,0.124675
25,0.064365,0.155157,0.146115
30,0.065712,0.151218,0.138823
35,0.051565,0.163344,0.148190
40,0.054932,0.132671,0.130213
45,0.054768,0.130159,0.134572
50,0.083411,0.135845,0.142093
55,0.040711,0.141777,0.126748
60,0.039538,0.138320,0.142474
65,0.048321,0.118279,0.141171
70,0.055976,0.130248,0.151279
75,0.041644,0.121001,0.136292
80,0.039379,0.115552,0.138486
85,0.057746,0.107230,0.137004
90,0.061337,0.102880,0.143271
95,0.043338,0.103264,0.148028
100,0.068179,0.100297,0.148363
105,0.053775,0.102213,0.147101
110,0.058156,0.104666,0.155165
115,0.064088,0.109554,0.148823
120,0.040418,0.117899,0.139091
