random
epoch,train_loss,train_mae_norm,val_mae_norm
0,0.904072,0.519421,0.477909
1,0.136421,0.289059,0.308513
5,0.068555,0.219901,0.259593
10,0.040516,0.191917,0.214919
15,0.062062,0.153551,0.192116
20,0.052685,0.143951,0.175284
25,0.067121,0.124650,0.162296
30,0.059532,0.124264,0.168058
35,0.050724,0.130157,0.175812
40,0.045899,0.123738,0.171956
45,0.046987,0.113063,0.178993
50,0.081546,0.107636,0.179384
55,0.036120,0.121207,0.188687
60,0.039169,0.115586,0.187944
65,0.044776,0.100735,0.181059
70,0.052743,0.106817,0.190182
75,0.033588,0.095343,0.186410
80,0.035511,0.097742,0.201789
85,0.046046,0.082688,0.195277
90,0.054884,0.082005,0.193630
95,0.036462,0.076319,0.196326
100,0.065191,0.077822,0.196066
105,0.043533,0.078539,0.198611
110,0.051251,0.080086,0.204697
115,0.055627,0.083606,0.211916
120,0.032428,0.082085,0.210313
125,0.039263,0.083969,0.202868
