square
epoch,train_loss,train_mae_norm,val_mae_norm
0,1.055473,0.551131,1.099447
1,0.127064,0.303925,0.852272
5,0.053850,0.201885,0.736609
10,0.095202,0.159617,0.648337
15,0.064472,0.132572,0.606050
20,0.076942,0.129134,0.611694
25,0.079601,0.113865,0.588204
30,0.062412,0.111313,0.609865
35,0.042333,0.116556,0.570501
40,0.086083,0.111905,0.594198
45,0.060418,0.122500,0.603013
50,0.050175,0.114214,0.593281
55,0.051463,0.096297,0.586916
60,0.049355,0.090063,0.594963
65,0.060605,0.091460,0.615346
70,0.056559,0.086237,0.588662
75,0.050270,0.098937,0.590274
80,0.043686,0.088681,0.614752
85,0.052889,0.097678,0.612933
90,0.040831,0.080501,0.612013
95,0.048790,0.086997,0.621322
100,0.055756,0.097236,0.617916
105,0.058455,0.083082,0.621307
110,0.043653,0.075846,0.628375
115,0.047384,0.094189,0.651846
120,0.054008,0.075227,0.621017
125,0.041814,0.071622,0.643165
130,0.051751,0.074182,0.636163
135,0.055816,0.068700,0.634477
