config_id	val_MAE	test_MAE_melon	chirp	random	square	model_class	n_hidden	num_layers	hidden_sizes	lr	dropout	weight_decay	description
1	0.637923	0.211991	0.322071	0.595572	0.996126	AutoregressiveLSTM	192	1	[256]	2.18e-03	0.05	0.001	AR-LSTM h=192 L=1 lr=2.2e-03 do=0.05 wd=1e-03
2	0.627952	0.203876	0.298782	0.593063	0.992010	AutoregressiveLSTM	320	1	[128, 64]	6.33e-04	0.0	1e-05	AR-LSTM h=320 L=1 lr=6.3e-04 do=0.0 wd=1e-05
3	0.634547	0.208394	0.319800	0.574358	1.009483	AutoregressiveLSTM	320	3	[256]	8.27e-04	0.25	0.001	AR-LSTM h=320 L=3 lr=8.3e-04 do=0.25 wd=1e-03
4	0.656095	0.231885	0.348662	0.612254	1.007370	AutoregressiveLSTM	256	2	[256, 256]	1.75e-03	0.0	1e-05	AR-LSTM h=256 L=2 lr=1.8e-03 do=0.0 wd=1e-05
5	0.384031	0.107084	0.165236	0.287844	0.699011	PhysicsResidualLSTM	192	1	[128]	2.50e-03	0.1	1e-05	Phys+Res h=192 L=1 lr=2.5e-03 do=0.1 wd=1e-05
6	0.685970	0.225863	0.348832	0.609654	1.099424	AutoregressiveLSTM	192	3	[64, 64]	6.19e-04	0.1	1e-05	AR-LSTM h=192 L=3 lr=6.2e-04 do=0.1 wd=1e-05
7	0.686919	0.230176	0.346213	0.637209	1.077334	AutoregressiveLSTM	256	3	[64]	2.68e-03	0.1	0.001	AR-LSTM h=256 L=3 lr=2.7e-03 do=0.1 wd=1e-03
8	0.351174	0.094686	0.144609	0.258386	0.650527	PhysicsResidualLSTM	320	3	[256]	2.08e-03	0.0	1e-05	Phys+Res h=320 L=3 lr=2.1e-03 do=0.0 wd=1e-05
9	0.386869	0.104871	0.160196	0.300476	0.699935	PhysicsResidualLSTM	64	1	[256]	2.29e-03	0.15	0.0001	Phys+Res h=64 L=1 lr=2.3e-03 do=0.15 wd=1e-04
10	0.359238	0.096765	0.144567	0.269706	0.663442	PhysicsResidualLSTM	128	2	[64, 64]	1.42e-03	0.05	0.001	Phys+Res h=128 L=2 lr=1.4e-03 do=0.05 wd=1e-03
11	0.661344	0.213513	0.329554	0.601716	1.052761	AutoregressiveLSTM	320	3	[128]	9.25e-04	0.25	1e-05	AR-LSTM h=320 L=3 lr=9.2e-04 do=0.25 wd=1e-05
12	0.384544	0.105253	0.159371	0.282627	0.711634	PhysicsResidualLSTM	192	1	[256, 128]	7.28e-04	0.25	0.0001	Phys+Res h=192 L=1 lr=7.3e-04 do=0.25 wd=1e-04
13	0.707961	0.236441	0.409481	0.629030	1.085372	AutoregressiveLSTM	128	2	[32]	3.48e-03	0.15	0.0001	AR-LSTM h=128 L=2 lr=3.5e-03 do=0.15 wd=1e-04
14	0.355908	0.094517	0.157720	0.242835	0.667170	PhysicsResidualLSTM	128	2	[128, 128]	5.82e-04	0.25	0.0001	Phys+Res h=128 L=2 lr=5.8e-04 do=0.25 wd=1e-04
15	0.658505	0.208295	0.318037	0.596554	1.060925	AutoregressiveLSTM	128	3	[256, 128]	6.95e-04	0.1	0.001	AR-LSTM h=128 L=3 lr=6.9e-04 do=0.1 wd=1e-03
16	0.372263	0.106324	0.152251	0.302291	0.662246	PhysicsResidualLSTM	192	1	[256]	1.92e-03	0.2	0.0001	Phys+Res h=192 L=1 lr=1.9e-03 do=0.2 wd=1e-04
17	0.607724	0.190431	0.285307	0.560257	0.977608	AutoregressiveLSTM	64	3	[128]	6.16e-04	0.05	0.001	AR-LSTM h=64 L=3 lr=6.2e-04 do=0.05 wd=1e-03
18	0.696799	0.273361	0.373242	0.613717	1.103438	AutoregressiveLSTM	256	3	[128, 64]	1.32e-03	0.15	0.001	AR-LSTM h=256 L=3 lr=1.3e-03 do=0.15 wd=1e-03
