fold_2
epoch,train_loss_norm_mse,train_rmse_norm,val_rmse_norm
0,0.987869,0.993916,1.230215
1,0.990317,0.978004,1.212263
25,0.365091,0.517159,0.653555
50,0.065052,0.227132,0.416725
75,0.044703,0.218047,0.372350
100,0.136039,0.258794,0.411076
125,0.046254,0.214394,0.376814
150,0.057890,0.191406,0.380038
175,0.026774,0.133094,0.346708
200,0.011808,0.203697,0.335886
225,0.005109,0.062595,0.330404
250,0.003787,0.100937,0.312693
275,0.004712,0.057112,0.320470
300,0.005745,0.062242,0.302157
325,0.005825,0.044580,0.315732
350,0.002382,0.052314,0.327197
375,0.005720,0.075175,0.310641
400,0.041083,0.082661,0.328313
425,0.004271,0.101296,0.304802
450,0.002547,0.048920,0.330324
475,0.060423,0.292814,0.338599
500,0.005777,0.123139,0.326573
525,0.002906,0.073363,0.322886
550,0.023620,0.081411,0.335699
